City,State,Temperature_F_grouped,Visibility mi group,Weather Conditions,Distance mi,Duration min,Hour of Accident,Severity
Colorado City,CO,31-40,6-10,Fair,0.33,131,0,4
Olney Springs,CO,31-40,6-10,Fair,0.23,131,23,4
Bailey,CO,31-40,6-10,Fair,0.15,132,1,4
Rangely,CO,31-40,6-10,Fair,1.96,139,13,4
Rangely,CO,31-40,6-10,Fair,1.98,139,13,4
Burlington,CO,31-40,6-10,Fair,0.21,195,1,4
Golden,CO,31-40,6-10,Fair,0.14,134,11,4
Golden,CO,31-40,6-10,Fair,0.25,144,10,4
Bailey,CO,41-50,6-10,Fair,0.46,134,14,4
Loveland,CO,41-50,6-10,Fair,0.02,131,11,4
Pueblo,CO,41-50,6-10,Fair,0.17,131,11,4
Golden,CO,41-50,6-10,Fair,0.22,132,10,4
Broomfield,CO,41-50,6-10,Fair,0.05,134,10,4
Golden,CO,41-50,6-10,Fair,0.15,135,13,4
Golden,CO,41-50,6-10,Fair,0.36,135,13,4
Nunn,CO,41-50,6-10,Fair,4.05,146,14,4
Nunn,CO,41-50,6-10,Fair,4.05,146,14,4
Nunn,CO,41-50,6-10,Fair,0.23,166,14,4
Nunn,CO,41-50,6-10,Fair,0.36,166,14,4
Fairplay,CO,1-10,6-10,Cloudy,0.17,130,7,4
Breckenridge,CO,11-20,6-10,Cloudy,0.03,151,22,4
Parker,CO,21-30,6-10,Cloudy,0.16,130,4,4
Monte Vista,CO,41-50,6-10,Cloudy,0.11,179,13,4
Colorado Springs,CO,51-60,6-10,Cloudy,0.23,134,10,4
Colorado Springs,CO,51-60,6-10,Cloudy,1.01,140,10,4
Colorado Springs,CO,51-60,6-10,Cloudy,1.02,140,10,4
Arvada,CO,31-40,6-10,Cloudy,0.12,133,14,4
Divide,CO,41-50,6-10,Rain,0.31,132,11,4
Golden,CO,31-40,36-40,Cloudy,0.52,135,10,4
Granite Bay,CA,51-60,0-5,Dust/Fog/Haze/Mist,0.06,124,16,4
Adel,OR,31-40,0-5,Light Precipitation,0.35,167,12,4
Moss Landing,CA,41-50,0-5,Light Precipitation,0.68,127,14,4
Incline Village,NV,31-40,0-5,Cloudy,0.13,127,15,4
Incline Village,NV,31-40,0-5,Cloudy,0.23,127,15,4
Anaheim,CA,51-60,6-10,Light Precipitation,0.78,124,5,4
Government Camp,OR,31-40,6-10,Wintry Mix,0.19,233,10,4
Vancouver,WA,41-50,6-10,Light Precipitation,0.37,141,17,4
San Diego,CA,51-60,6-10,Cloudy,0.3,125,4,4
Cottage Grove,OR,31-40,6-10,Light Precipitation,0.38,124,9,4
Los Angeles,CA,51-60,6-10,Cloudy,0.96,128,11,4
Beckwourth,CA,41-50,6-10,Fair,0.33,334,14,4
Rio Vista,CA,61-70,6-10,Fair,1.56,133,15,4
Crescent Valley,NV,21-30,6-10,Fair,1.49,210,8,4
Reno,NV,31-40,6-10,Light Precipitation,0.68,147,17,4
Reno,NV,41-50,6-10,Cloudy,0.25,188,15,4
Junction City,OR,41-50,6-10,Cloudy,0.35,149,8,4
Junction City,OR,41-50,6-10,Cloudy,0.24,178,8,4
Junction City,OR,41-50,6-10,Cloudy,0.05,345,8,4
Salem,OR,41-50,6-10,Cloudy,0.33,141,17,4
Salem,OR,41-50,6-10,Cloudy,0.42,146,17,4
Cannon Beach,OR,51-60,6-10,Cloudy,0.1,176,18,4
Cannon Beach,OR,51-60,6-10,Cloudy,0.15,176,18,4
Blue River,OR,31-40,6-10,Fair,0.25,153,23,4
Blue River,OR,31-40,6-10,Fair,0.42,153,23,4
La Pine,OR,41-50,6-10,Fair,0.59,146,12,4
La Pine,OR,41-50,6-10,Fair,0.59,146,12,4
Sheridan,OR,41-50,6-10,Fair,0.24,156,17,4
Sheridan,OR,41-50,6-10,Fair,0.24,156,17,4
Maupin,OR,41-50,6-10,Fair,0.08,235,10,4
Saint Paul,OR,51-60,6-10,Fair,1.34,123,18,4
Newberg,OR,61-70,6-10,Fair,0.33,143,17,4
Newberg,OR,61-70,6-10,Fair,0.66,143,17,4
Government Camp,OR,31-40,6-10,Light Precipitation,0.61,141,4,4
Blue River,OR,41-50,6-10,Light Precipitation,0.69,141,18,4
Blue River,OR,41-50,6-10,Cloudy,0.25,163,14,4
Blue River,OR,41-50,6-10,Cloudy,0.4,168,14,4
Chemult,OR,31-40,6-10,Cloudy,0.16,149,19,4
Chemult,OR,31-40,6-10,Cloudy,0.32,149,19,4
Chemult,OR,31-40,6-10,Cloudy,0.63,275,19,4
Bend,OR,41-50,6-10,Cloudy,0.2,151,16,4
Bend,OR,41-50,6-10,Cloudy,1.24,151,16,4
Fall City,WA,41-50,6-10,Cloudy,2.23,132,18,4
Fall City,WA,41-50,6-10,Cloudy,0.02,139,18,4
Shelton,WA,51-60,6-10,Fair,0.27,131,19,4
Shelton,WA,51-60,6-10,Fair,0.27,131,19,4
Oak Harbor,WA,51-60,6-10,Cloudy,0.02,143,17,4
Ashland,VA,61-70,6-10,Fair,0.06,138,16,2
Ashland,VA,61-70,6-10,Fair,0.25,138,16,2
Golden,CO,31-40,36-40,Cloudy,0.52,135,10,2
Atlanta,GA,41-50,6-10,Cloudy,0.06,30,7,2
Perry,GA,41-50,6-10,Cloudy,0.27,21,7,2
Grantville,GA,21-30,6-10,Fair,0.22,30,7,2
Pooler,GA,31-40,6-10,Fair,0.4,34,7,2
Atlanta,GA,41-50,6-10,Fair,0.78,30,7,2
West Point,GA,41-50,6-10,Fair,0.61,30,7,2
Atlanta,GA,41-50,6-10,Fair,0.06,41,7,2
Atlanta,GA,41-50,6-10,Fair,0.08,41,7,2
Alto,GA,41-50,6-10,Fair,0.01,60,19,2
Atlanta,GA,41-50,6-10,Fair,0.1,33,20,2
Atlanta,GA,41-50,6-10,Fair,0.03,60,20,2
Atlanta,GA,51-60,6-10,Fair,0.13,30,7,2
Lithia Springs,GA,51-60,6-10,Fair,4.24,156,19,2
Hiram,GA,61-70,6-10,Fair,0.36,24,7,2
West Point,GA,61-70,6-10,Fair,2.21,30,20,2
Augusta,GA,71-80,6-10,Fair,0.49,32,19,2
Atlanta,GA,71-80,6-10,Fair,0.16,32,20,2
Atlanta,GA,71-80,6-10,Fair,0.44,35,20,2
Valdosta,GA,71-80,6-10,Fair,2.24,35,20,2
Acworth,GA,71-80,6-10,Fair,0.33,124,19,2
Atlanta,GA,61-70,6-10,Light Precipitation,0.64,13,7,2
Atlanta,GA,51-60,6-10,Cloudy,0.22,30,7,2
Atlanta,GA,61-70,6-10,Cloudy,0.25,20,20,2
Toccoa,GA,61-70,6-10,Cloudy,0.18,30,19,2
Toccoa,GA,61-70,6-10,Cloudy,0.18,236,19,2
Toccoa,GA,61-70,6-10,Cloudy,0.18,236,19,2
Atlanta,GA,71-80,6-10,Cloudy,2.89,147,20,2
Atlanta,GA,51-60,6-10,Cloudy,1.54,780,7,2
Macon,GA,61-70,6-10,Thunderstorm,0.4,30,7,2
Indianapolis,IN,61-70,6-10,Cloudy,0.18,59,7,2
Indianapolis,IN,11-20,6-10,Fair,0.27,59,7,2
Indianapolis,IN,41-50,6-10,Fair,0.08,59,20,2
Indianapolis,IN,51-60,6-10,Cloudy,0.31,237,20,2
Indianapolis,IN,51-60,6-10,Cloudy,2.52,238,20,2
Indianapolis,IN,51-60,6-10,Cloudy,0.07,239,20,2
Milford,MI,51-60,6-10,Cloudy,0.25,131,20,2
Lowell,MI,11-20,6-10,Fair,0.25,125,7,2
Dearborn,MI,21-30,6-10,Fair,0.24,13,7,2
Ann Arbor,MI,21-30,6-10,Fair,0.21,29,7,2
Northville,MI,21-30,6-10,Fair,1.31,35,7,2
Dearborn,MI,21-30,6-10,Fair,2.74,75,7,2
Detroit,MI,21-30,6-10,Fair,1,126,6,2
Livonia,MI,21-30,6-10,Fair,0.16,129,7,2
Highland Park,MI,31-40,6-10,Fair,0.89,26,7,2
Detroit,MI,31-40,6-10,Fair,0.39,130,7,2
Detroit,MI,31-40,6-10,Fair,0.54,34,20,2
Detroit,MI,31-40,6-10,Fair,0.87,136,20,2
Portland,MI,11-20,6-10,Cloudy,1.05,39,20,2
Detroit,MI,31-40,6-10,Cloudy,0.03,129,19,2
Chadbourn,NC,31-40,6-10,Cloudy,0.93,120,7,2
Chadbourn,NC,31-40,6-10,Cloudy,1.33,120,7,2
Dunn,NC,51-60,6-10,Cloudy,0.97,120,19,2
Hendersonville,NC,61-70,6-10,Cloudy,0.19,25,19,2
Charlotte,NC,21-30,6-10,Fair,0.02,60,7,2
Charlotte,NC,21-30,6-10,Fair,0.02,60,7,2
Charlotte,NC,21-30,6-10,Fair,0.91,60,7,2
Charlotte,NC,41-50,6-10,Fair,0.04,60,6,2
Charlotte,NC,41-50,6-10,Fair,5.59,188,6,2
Hendersonville,NC,51-60,6-10,Fair,1.93,15,7,2
Black Mountain,NC,51-60,6-10,Fair,0.23,60,7,2
Hendersonville,NC,51-60,6-10,Fair,1.36,60,7,2
Burlington,NC,51-60,6-10,Fair,0.02,60,19,2
Burlington,NC,51-60,6-10,Fair,0.07,180,19,2
Mooresville,NC,61-70,6-10,Fair,0.92,29,19,2
Mooresville,NC,71-80,6-10,Fair,0.25,60,19,2
Mooresville,NC,71-80,6-10,Fair,1.29,60,19,2
Saint Pauls,NC,71-80,6-10,Fair,1.26,120,19,2
Saint Pauls,NC,71-80,6-10,Fair,1.56,120,19,2
Saint Pauls,NC,71-80,6-10,Fair,2.09,133,19,2
Yadkinville,NC,71-80,6-10,Fair,0.03,180,19,2
Raleigh,NC,61-70,6-10,Cloudy,0.18,120,6,2
Mount Olive,NC,71-80,6-10,Cloudy,1.69,240,19,2
Fords,NJ,41-50,6-10,Cloudy,1.08,27,6,2
Fords,NJ,41-50,6-10,Cloudy,0.34,127,6,2
Woodbridge,NJ,41-50,6-10,Cloudy,0.17,129,6,2
Mount Ephraim,NJ,61-70,6-10,Cloudy,0.02,129,19,2
Denville,NJ,21-30,6-10,Fair,1.05,38,6,2
Morris Plains,NJ,21-30,6-10,Fair,0.08,128,7,2
Morris Plains,NJ,21-30,6-10,Fair,0.08,132,7,2
Phillipsburg,NJ,21-30,6-10,Fair,0.45,127,6,2
Phillipsburg,NJ,21-30,6-10,Fair,0.45,169,6,2
Hillside,NJ,31-40,6-10,Fair,1.59,30,6,2
Union,NJ,31-40,6-10,Fair,0.47,127,6,2
East Orange,NJ,31-40,6-10,Fair,3.92,83,6,2
Mount Laurel,NJ,31-40,6-10,Fair,0.08,135,6,2
Mount Laurel,NJ,31-40,6-10,Fair,1.2,140,6,2
Secaucus,NJ,31-40,6-10,Fair,1.17,77,6,2
Paterson,NJ,31-40,6-10,Fair,0.92,143,6,2
Paterson,NJ,31-40,6-10,Fair,2.54,45,6,2
Clifton,NJ,41-50,6-10,Fair,0.82,142,6,2
Elizabeth,NJ,51-60,6-10,Fair,0.1,32,19,2
Elizabeth,NJ,51-60,6-10,Fair,0.04,133,19,2
Elizabeth,NJ,51-60,6-10,Fair,0.35,138,19,2
Elizabeth,NJ,51-60,6-10,Fair,0.04,161,19,2
Westville,NJ,41-50,6-10,Cloudy,0.16,185,19,2
Syracuse,NY,31-40,6-10,Cloudy,0.01,131,6,2
Sloatsburg,NY,41-50,6-10,Cloudy,0.94,25,6,2
Sloatsburg,NY,41-50,6-10,Cloudy,0.94,126,6,2
Sloatsburg,NY,41-50,6-10,Cloudy,0.94,129,6,2
Bayside,NY,51-60,6-10,Cloudy,1.93,95,19,2
Yorktown Heights,NY,21-30,6-10,Fair,2.94,39,6,2
Bay Shore,NY,21-30,6-10,Fair,0.04,130,6,2
Yorktown Heights,NY,21-30,6-10,Fair,1.25,133,6,2
Bay Shore,NY,21-30,6-10,Fair,0.04,137,6,2
Yorktown Heights,NY,21-30,6-10,Fair,1.18,170,6,2
Wappingers Falls,NY,21-30,6-10,Fair,0.03,127,6,2
Wappingers Falls,NY,21-30,6-10,Fair,0.03,132,6,2
Roslyn Heights,NY,41-50,6-10,Fair,0.24,171,6,2
Staten Island,NY,41-50,6-10,Fair,1.89,98,6,2
Roslyn,NY,41-50,6-10,Fair,1.17,7,19,2
Rye,NY,41-50,6-10,Fair,0.09,124,19,2
Rye,NY,41-50,6-10,Fair,0.16,127,19,2
Rye,NY,41-50,6-10,Fair,0.16,152,19,2
Staten Island,NY,51-60,6-10,Fair,0.72,127,19,2
Staten Island,NY,51-60,6-10,Fair,1.2,50,19,2
Hauppauge,NY,51-60,6-10,Fair,0.96,58,19,2
Staten Island,NY,31-40,6-10,Cloudy,0.96,157,6,2
Bronx,NY,41-50,6-10,Cloudy,0.85,127,19,2
Denver,CO,21-30,0-5,Light Precipitation,0.14,129,1,2
San Jose,CA,41-50,6-10,Light Precipitation,0.04,137,8,2
Long Beach,CA,51-60,6-10,Light Precipitation,0.02,135,8,2
Los Angeles,CA,51-60,6-10,Cloudy,0.03,131,10,2
Ukiah,CA,41-50,6-10,Cloudy,0.03,174,21,2
Bakersfield,CA,41-50,6-10,Cloudy,0.01,128,21,2
Fairfield,CA,41-50,6-10,Cloudy,0.03,140,22,2
Long Beach,CA,61-70,6-10,Cloudy,0.01,191,16,2
Fontana,CA,41-50,6-10,Fair,0.89,13,5,2
Sacramento,CA,41-50,6-10,Fair,0.38,24,5,2
Sacramento,CA,41-50,6-10,Fair,0.1,126,5,2
Acampo,CA,41-50,6-10,Fair,0.06,128,6,2
Vallejo,CA,41-50,6-10,Fair,0.05,132,6,2
Lebec,CA,41-50,6-10,Fair,3.35,155,19,2
Vallejo,CA,41-50,6-10,Fair,0.05,172,6,2
Sacramento,CA,41-50,6-10,Fair,0.92,652,5,2
Ontario,CA,41-50,6-10,Fair,1.76,90,6,2
Loleta,CA,41-50,6-10,Fair,0.31,126,20,2
Ontario,CA,41-50,6-10,Fair,0.8,129,6,2
Visalia,CA,41-50,6-10,Fair,0.12,131,6,2
Mira Loma,CA,41-50,6-10,Fair,0.4,133,6,2
Mira Loma,CA,41-50,6-10,Fair,0.82,154,6,2
Newcastle,CA,41-50,6-10,Fair,0.02,197,20,2
Stockton,CA,41-50,6-10,Fair,0.14,214,20,2
French Camp,CA,41-50,6-10,Fair,1.51,112,6,2
French Camp,CA,41-50,6-10,Fair,0.07,127,6,2
Stockton,CA,41-50,6-10,Fair,0.01,127,5,2
Lakeport,CA,41-50,6-10,Fair,0.14,129,20,2
Phelan,CA,41-50,6-10,Fair,0.01,129,19,2
Ventura,CA,41-50,6-10,Fair,0.01,134,6,2
Ventura,CA,41-50,6-10,Fair,0.03,154,6,2
Lathrop,CA,41-50,6-10,Fair,0.88,164,6,2
Valley Village,CA,41-50,6-10,Fair,1.61,198,6,2
Ukiah,CA,41-50,6-10,Fair,0.47,201,20,2
Kelseyville,CA,41-50,6-10,Fair,0.08,213,20,2
Mira Loma,CA,41-50,6-10,Fair,1.88,734,6,2
Glendora,CA,41-50,6-10,Fair,0.25,27,6,2
Los Alamitos,CA,41-50,6-10,Fair,1.58,53,5,2
Claremont,CA,41-50,6-10,Fair,3.18,58,6,2
Pomona,CA,41-50,6-10,Fair,1.05,125,6,2
Bakersfield,CA,41-50,6-10,Fair,0.04,132,5,2
Palmdale,CA,41-50,6-10,Fair,0.19,136,9,2
Pomona,CA,41-50,6-10,Fair,0.88,136,6,2
Kerman,CA,41-50,6-10,Fair,0.5,202,20,2
Corning,CA,41-50,6-10,Fair,0.38,208,5,2
Anaheim,CA,41-50,6-10,Fair,2.19,227,6,2
Baldwin Park,CA,41-50,6-10,Fair,2.28,233,6,2
Carson,CA,41-50,6-10,Fair,0.7,30,6,2
Willits,CA,41-50,6-10,Fair,0.67,125,5,2
Rancho Cordova,CA,41-50,6-10,Fair,0.16,132,20,2
Carson,CA,41-50,6-10,Fair,0.06,133,6,2
Pittsburg,CA,41-50,6-10,Fair,0.02,134,6,2
Napa,CA,41-50,6-10,Fair,0.05,142,20,2
Sacramento,CA,41-50,6-10,Fair,0.06,188,20,2
Jamestown,CA,41-50,6-10,Fair,0.03,266,19,2
Palmdale,CA,41-50,6-10,Fair,1.28,21,18,2
Seal Beach,CA,41-50,6-10,Fair,2.16,66,6,2
San Diego,CA,41-50,6-10,Fair,0.7,126,6,2
Soquel,CA,41-50,6-10,Fair,0.02,130,20,2
Vista,CA,41-50,6-10,Fair,4.29,130,5,2
Acton,CA,41-50,6-10,Fair,0.01,131,6,2
Nipomo,CA,41-50,6-10,Fair,0.02,131,8,2
Seal Beach,CA,41-50,6-10,Fair,0.87,131,6,2
Shingletown,CA,41-50,6-10,Fair,0.06,132,6,2
Crockett,CA,41-50,6-10,Fair,0.03,134,8,2
Quincy,CA,41-50,6-10,Fair,0.1,135,7,2
Escondido,CA,41-50,6-10,Fair,1.32,136,5,2
Sacramento,CA,41-50,6-10,Fair,0.07,137,8,2
San Diego,CA,41-50,6-10,Fair,0.38,159,6,2
Seal Beach,CA,41-50,6-10,Fair,0.75,177,6,2
Shingletown,CA,41-50,6-10,Fair,0.04,182,6,2
Paso Robles,CA,41-50,6-10,Fair,0.13,198,20,2
Woodland Hills,CA,41-50,6-10,Fair,5.51,386,6,2
Los Angeles,CA,41-50,6-10,Fair,0.41,26,5,2
Ontario,CA,41-50,6-10,Fair,4.84,69,6,2
Newark,CA,41-50,6-10,Fair,0.56,94,20,2
Glendale,CA,41-50,6-10,Fair,3.51,107,6,2
Sun Valley,CA,41-50,6-10,Fair,0.91,126,6,2
Santa Maria,CA,41-50,6-10,Fair,0.2,127,19,2
Hilmar,CA,41-50,6-10,Fair,0.43,128,19,2
Hanford,CA,41-50,6-10,Fair,0.5,129,20,2
Los Angeles,CA,41-50,6-10,Fair,0.03,130,5,2
Sun Valley,CA,41-50,6-10,Fair,0.12,130,6,2
Davis,CA,41-50,6-10,Fair,2.06,131,20,2
Lamont,CA,41-50,6-10,Fair,0.04,131,19,2
Richmond,CA,41-50,6-10,Fair,0.02,131,20,2
Watsonville,CA,41-50,6-10,Fair,0.1,131,19,2
Los Angeles,CA,41-50,6-10,Fair,0.19,132,5,2
Magalia,CA,41-50,6-10,Fair,0.12,132,20,2
Los Angeles,CA,41-50,6-10,Fair,0.03,138,5,2
West Sacramento,CA,41-50,6-10,Fair,4,139,6,2
Ontario,CA,41-50,6-10,Fair,0.72,142,5,2
Davis,CA,41-50,6-10,Fair,0.72,146,20,2
Davis,CA,41-50,6-10,Fair,0.96,150,20,2
Davis,CA,41-50,6-10,Fair,1.39,153,20,2
Los Angeles,CA,41-50,6-10,Fair,5.88,159,6,2
West Sacramento,CA,41-50,6-10,Fair,3.8,160,6,2
Los Angeles,CA,41-50,6-10,Fair,0.03,165,5,2
Costa Mesa,CA,61-70,6-10,Cloudy,0.16,133,17,2
Costa Mesa,CA,61-70,6-10,Cloudy,0.38,133,12,2
Tustin,CA,61-70,6-10,Cloudy,0.22,133,13,2
Sanger,CA,61-70,6-10,Cloudy,0.03,142,13,2
Anaheim,CA,61-70,6-10,Cloudy,0.44,144,14,2
Anaheim,CA,61-70,6-10,Cloudy,0.44,144,14,2
Anaheim,CA,61-70,6-10,Cloudy,0.47,144,14,2
Castaic,CA,61-70,6-10,Cloudy,0.15,146,11,2
Foothill Ranch,CA,61-70,6-10,Cloudy,0.05,146,13,2
Rosemead,CA,61-70,6-10,Cloudy,0.78,147,14,2
Tustin,CA,61-70,6-10,Cloudy,0.04,149,11,2
Whittier,CA,61-70,6-10,Cloudy,0.84,170,14,2
San Diego,CA,61-70,6-10,Cloudy,2.45,194,15,2
Ontario,CA,61-70,6-10,Cloudy,1.35,203,15,2
San Diego,CA,61-70,6-10,Cloudy,6.96,218,14,2
Whittier,CA,61-70,6-10,Cloudy,0.85,231,14,2
Buena Park,CA,61-70,6-10,Cloudy,8.22,232,14,2
San Diego,CA,61-70,6-10,Cloudy,4.4,232,14,2
Laguna Hills,CA,61-70,6-10,Cloudy,0.01,270,11,2
Whittier,CA,61-70,6-10,Cloudy,8.09,296,14,2
Los Angeles,CA,61-70,6-10,Cloudy,8.01,364,13,2
San Bernardino,CA,61-70,6-10,Cloudy,0.64,15,17,2
Santa Ana,CA,61-70,6-10,Cloudy,1.15,21,14,2
Tustin,CA,61-70,6-10,Cloudy,3,77,15,2
Los Angeles,CA,61-70,6-10,Cloudy,2.06,111,14,2
Upland,CA,61-70,6-10,Cloudy,6.2,116,13,2
Whittier,CA,61-70,6-10,Cloudy,0.67,128,15,2
Chowchilla,CA,61-70,6-10,Cloudy,0.35,129,13,2
San Bernardino,CA,61-70,6-10,Cloudy,0.06,129,17,2
San Bernardino,CA,61-70,6-10,Cloudy,0.21,129,17,2
Fontana,CA,61-70,6-10,Cloudy,0.05,130,15,2
Lytle Creek,CA,61-70,6-10,Cloudy,0.03,130,17,2
Anaheim,CA,61-70,6-10,Cloudy,0.75,131,15,2
Fresno,CA,61-70,6-10,Cloudy,0.5,131,15,2
San Bernardino,CA,61-70,6-10,Cloudy,0.06,133,17,2
Rancho Cucamonga,CA,61-70,6-10,Cloudy,0.79,135,14,2
Fontana,CA,61-70,6-10,Cloudy,0.05,140,15,2
Duarte,CA,61-70,6-10,Cloudy,5.12,202,15,2
Whittier,CA,61-70,6-10,Cloudy,0.9,256,15,2
Whittier,CA,61-70,6-10,Cloudy,0.77,257,15,2
Fontana,CA,61-70,6-10,Cloudy,10.72,333,14,2
Anaheim,CA,61-70,6-10,Cloudy,4.83,114,16,2
Redlands,CA,61-70,6-10,Cloudy,0.01,128,16,2
San Bernardino,CA,61-70,6-10,Cloudy,0.29,128,15,2
Whittier,CA,61-70,6-10,Cloudy,0.03,129,13,2
Colton,CA,61-70,6-10,Cloudy,1.05,130,16,2
Fullerton,CA,61-70,6-10,Cloudy,0.86,130,16,2
Redlands,CA,61-70,6-10,Cloudy,0.15,130,16,2
Rowland Heights,CA,61-70,6-10,Cloudy,0.11,130,13,2
Hacienda Heights,CA,61-70,6-10,Cloudy,0.05,131,14,2
San Bernardino,CA,61-70,6-10,Cloudy,0.25,131,17,2
Redlands,CA,61-70,6-10,Cloudy,0.12,134,16,2
Redlands,CA,61-70,6-10,Cloudy,0.01,138,16,2
San Bernardino,CA,61-70,6-10,Cloudy,0.34,139,15,2
Redlands,CA,61-70,6-10,Cloudy,0.12,149,16,2
Arcadia,CA,61-70,6-10,Cloudy,0.82,173,16,2
Compton,CA,61-70,6-10,Cloudy,0.04,175,14,2
Arcadia,CA,61-70,6-10,Cloudy,0.95,181,16,2
Norwalk,CA,61-70,6-10,Cloudy,8.57,237,15,2
San Bernardino,CA,61-70,6-10,Cloudy,0.23,250,16,2
Fontana,CA,61-70,6-10,Cloudy,0.46,13,15,2
Fontana,CA,61-70,6-10,Cloudy,0.46,26,15,2
Ontario,CA,61-70,6-10,Cloudy,3.28,117,15,2
Baldwin Park,CA,61-70,6-10,Cloudy,0.05,125,10,2
Baldwin Park,CA,61-70,6-10,Cloudy,0.05,130,10,2
Los Angeles,CA,61-70,6-10,Cloudy,0.18,130,11,2
Fontana,CA,61-70,6-10,Cloudy,0.17,131,15,2
Ontario,CA,61-70,6-10,Cloudy,0.36,131,16,2
Fontana,CA,61-70,6-10,Cloudy,0.17,158,15,2
Ontario,CA,61-70,6-10,Cloudy,0.36,179,16,2
Huntington Beach,CA,61-70,6-10,Cloudy,5.45,291,13,2
Huntington Beach,CA,61-70,6-10,Cloudy,5.25,295,13,2
Baldwin Park,CA,61-70,6-10,Cloudy,1.98,87,17,2
Anaheim,CA,61-70,6-10,Cloudy,0.04,128,17,2
Earlimart,CA,61-70,6-10,Cloudy,1.01,128,16,2
Anaheim,CA,61-70,6-10,Cloudy,0.03,129,16,2
Whittier,CA,61-70,6-10,Cloudy,0.16,130,16,2
Delano,CA,61-70,6-10,Cloudy,0.26,132,16,2
Azusa,CA,61-70,6-10,Cloudy,0.61,137,16,2
Whittier,CA,61-70,6-10,Cloudy,0.03,138,17,2
Whittier,CA,61-70,6-10,Cloudy,4.02,198,16,2
Whittier,CA,61-70,6-10,Cloudy,0.45,218,16,2
Norwalk,CA,61-70,6-10,Cloudy,0.41,100,13,2
Norwalk,CA,61-70,6-10,Cloudy,1.4,120,13,2
Rowland Heights,CA,61-70,6-10,Cloudy,0.04,127,12,2
Palmdale,CA,51-60,6-10,Cloudy,0.02,128,16,2
Palmdale,CA,51-60,6-10,Cloudy,0.38,131,16,2
Napa,CA,51-60,6-10,Cloudy,0.07,130,18,2
Brisbane,CA,51-60,6-10,Cloudy,1.54,28,15,2
South San Francisco,CA,51-60,6-10,Cloudy,0.96,128,15,2
Tulare,CA,51-60,6-10,Cloudy,0.5,128,11,2
Visalia,CA,51-60,6-10,Cloudy,0.26,132,12,2
Hughson,CA,51-60,6-10,Cloudy,0.69,21,12,2
King City,CA,51-60,6-10,Cloudy,0.08,127,12,2
Ontario,CA,51-60,6-10,Cloudy,1.53,201,14,2
American Canyon,CA,51-60,6-10,Cloudy,1.35,60,17,2
San Ardo,CA,51-60,6-10,Cloudy,0.2,147,14,2
Carson,CA,61-70,6-10,Cloudy,0.07,134,15,2
Carson,CA,61-70,6-10,Cloudy,0.07,137,15,2
Truckee,CA,11-20,6-10,Cloudy,0.53,129,7,2
Adin,CA,21-30,6-10,Cloudy,0.05,141,11,2
Oregon House,CA,31-40,6-10,Cloudy,0.17,129,11,2
Tahoe City,CA,31-40,6-10,Cloudy,0.05,134,16,2
Kings Beach,CA,41-50,6-10,Cloudy,0.14,127,18,2
Sacramento,CA,41-50,6-10,Cloudy,0.06,133,7,2
Sacramento,CA,41-50,6-10,Cloudy,0.05,137,8,2
Sacramento,CA,41-50,6-10,Cloudy,0.05,160,8,2
McCloud,CA,41-50,6-10,Cloudy,0.21,135,14,2
Sacramento,CA,41-50,6-10,Cloudy,0.26,127,7,2
Sacramento,CA,41-50,6-10,Cloudy,0.88,131,7,2
Lathrop,CA,41-50,6-10,Cloudy,0.47,27,8,2
Manteca,CA,41-50,6-10,Cloudy,4.12,111,8,2
Lathrop,CA,41-50,6-10,Cloudy,0.9,129,8,2
Stockton,CA,41-50,6-10,Cloudy,0.16,132,9,2
Colfax,CA,41-50,6-10,Cloudy,0.05,126,15,2
Shingle Springs,CA,41-50,6-10,Cloudy,0.04,127,14,2
Newark,CA,41-50,6-10,Cloudy,0.59,131,10,2
Newman,CA,41-50,6-10,Cloudy,5.21,46,10,2
South Gate,CA,41-50,6-10,Cloudy,0.74,126,6,2
Palmdale,CA,41-50,6-10,Cloudy,0.01,129,8,2
Colfax,CA,41-50,6-10,Cloudy,0.19,26,16,2
San Diego,CA,41-50,6-10,Cloudy,0.22,131,7,2
La Jolla,CA,41-50,6-10,Cloudy,0.14,133,6,2
Oakland,CA,41-50,6-10,Cloudy,0.05,133,7,2
San Diego,CA,41-50,6-10,Cloudy,0.06,147,7,2
San Diego,CA,41-50,6-10,Cloudy,0.06,155,7,2
La Jolla,CA,41-50,6-10,Cloudy,0.14,182,6,2
Escondido,CA,51-60,6-10,Cloudy,0.83,72,7,2
Anderson,CA,51-60,6-10,Cloudy,0.01,126,12,2
Escondido,CA,51-60,6-10,Cloudy,0.19,127,7,2
Santa Rosa,CA,51-60,6-10,Cloudy,0.06,130,18,2
Vista,CA,51-60,6-10,Cloudy,0.53,130,7,2
Bodega Bay,CA,51-60,6-10,Cloudy,0.02,131,12,2
Angwin,CA,51-60,6-10,Cloudy,0.06,133,18,2
Escondido,CA,51-60,6-10,Cloudy,0.13,137,6,2
Vista,CA,51-60,6-10,Cloudy,0.53,145,7,2
San Jose,CA,51-60,6-10,Cloudy,1.3,19,18,2
Escondido,CA,51-60,6-10,Cloudy,1.06,28,7,2
McClellan,CA,51-60,6-10,Cloudy,0.09,130,11,2
San Jose,CA,51-60,6-10,Cloudy,0.09,130,18,2
San Juan Bautista,CA,51-60,6-10,Cloudy,0.18,133,17,2
